event_id,match_id,frame,ball_x,ball_y,distance,angle,pressure,gk_dist,defenders_cone,one_touch,is_header,phase_type,goal
8_103,1886347,4236,-28.82,1.06,81.327,0.0899,1,101.58,0,1,0,finish,0
8_131,1886347,5505,-45.76,-13.89,99.237,0.073,1,102.21,0,0,0,finish,0
8_244,1886347,10841,-31.09,-12.85,84.572,0.0855,0,102.63,0,1,0,finish,0
8_261,1886347,12202,-31.33,-16.13,85.368,0.0842,0,102.89,0,0,0,finish,0
8_276,1886347,12845,-27.21,8.65,80.178,0.0907,0,102.21,0,0,0,finish,0
8_284,1886347,13909,-48.76,-3.12,101.308,0.0722,2,103.44,0,1,0,set_play,0
8_32,1886347,1444,-40.36,-4.77,92.982,0.0786,0,96.39,1,0,0,finish,0
8_323,1886347,16190,-40.76,-4.65,93.376,0.0783,1,101.43,0,0,0,finish,0
8_468,1886347,23408,-39.56,0.63,92.062,0.0795,0,102.01,0,1,0,quick_break,0
8_519,1886347,26403,-36.64,-12.19,89.97,0.0806,0,102.17,2,0,0,finish,0
8_545,1886347,27362,-34.02,13.51,87.568,0.0825,1,101.73,0,0,0,finish,0
8_632,1886347,31876,-47.18,-3.63,99.746,0.0733,3,103.58,1,1,1,set_play,0
8_659,1886347,33039,-42.92,9.83,95.925,0.0759,2,103.15,2,0,0,finish,0
8_690,1886347,35016,-30.57,-2.28,83.101,0.088,1,102.22,1,0,0,set_play,0
8_737,1886347,37748,-49.16,-6.63,101.876,0.0717,1,102.53,0,1,0,finish,0
8_739,1886347,38151,-33.03,-10.22,86.138,0.0843,0,102.67,0,0,0,set_play,0
8_786,1886347,43665,-40.05,7.02,92.816,0.0786,0,102.79,0,1,0,set_play,0
8_806,1886347,44461,-37.71,7.52,90.523,0.0805,1,102.59,0,0,0,finish,0
8_807,1886347,44492,-38.71,-13.18,92.157,0.0786,1,102.54,1,1,0,finish,0
8_916,1886347,50600,-38.13,0.72,90.633,0.0807,1,102.71,0,1,0,finish,1
8_937,1886347,53812,-36.03,-2.32,88.56,0.0826,1,98.08,0,1,0,set_play,1
8_946,1886347,56274,-36.98,-17.26,91.129,0.0788,1,102.33,0,0,0,set_play,0
8_997,1886347,58761,-18.41,-1.23,70.921,0.1031,1,101.94,0,0,0,finish,0
8_199,1899585,9483,-42.24,16.16,96.108,0.075,2,103.0,1,1,0,finish,0
8_209,1899585,10438,-29.22,-3.95,81.815,0.0893,1,103.07,0,0,0,set_play,0
8_236,1899585,11431,-34.9,5.83,87.594,0.0833,1,101.66,1,1,0,finish,0
8_251,1899585,13589,-28.46,-7.35,81.293,0.0896,1,102.61,0,0,0,finish,0
8_37,1899585,2212,-47.54,-9.8,100.519,0.0724,1,103.73,0,0,0,set_play,0
8_398,1899585,23258,-43.32,-15.46,97.059,0.0744,2,103.14,2,0,0,quick_break,0
8_428,1899585,25015,-42.25,8.62,95.141,0.0766,1,102.03,1,1,0,finish,0
8_429,1899585,25059,-36.14,-6.68,88.891,0.0821,2,102.17,0,0,0,finish,0
8_432,1899585,25563,-42.61,11.67,95.823,0.0758,1,102.25,0,0,0,finish,0
8_450,1899585,26693,-24.55,-14.7,78.44,0.0916,0,101.89,1,0,0,quick_break,0
8_458,1899585,27301,-46.01,-6.62,98.732,0.0739,1,103.22,0,1,0,finish,0
8_464,1899585,27755,-37.82,-18.03,92.102,0.0779,0,102.82,0,0,0,finish,0
8_515,1899585,31332,-36.5,-10.83,89.657,0.081,1,102.02,0,0,0,transition,0
8_615,1899585,40115,-45.03,1.28,97.538,0.075,3,103.52,0,1,1,set_play,0
8_678,1899585,43175,-37.31,12.23,90.639,0.08,0,101.05,1,0,0,finish,0
8_690,1899585,44380,-51.84,-1.87,104.357,0.0701,1,103.37,0,1,1,set_play,1
8_727,1899585,46489,-39.88,-10.14,92.935,0.0783,2,103.2,0,0,0,finish,0
8_797,1899585,51899,-40.16,-9.53,93.149,0.0781,1,98.83,1,1,0,finish,1
8_838,1899585,54368,-42.9,-6.39,95.614,0.0764,1,102.43,1,1,0,finish,0
8_872,1899585,56027,-28.63,-0.15,81.13,0.0902,1,101.89,1,0,0,finish,0
8_915,1899585,58263,-32.99,11.25,86.227,0.0841,1,100.93,1,0,0,finish,0
8_927,1899585,59862,-42.56,-12.17,95.836,0.0757,2,101.85,1,0,0,finish,0
8_1015,1925299,58689,-46.98,4.43,99.579,0.0734,1,103.28,0,1,1,finish,0
8_118,1925299,5657,-40.09,5.02,92.726,0.0788,1,103.02,0,0,0,finish,0
8_295,1925299,14784,-42.33,10.32,95.39,0.0763,1,103.33,1,0,0,finish,0
8_318,1925299,17522,-30.97,9.54,84.013,0.0865,0,102.17,0,0,0,finish,0
8_333,1925299,17972,-37.03,17.06,91.141,0.0789,0,102.99,0,1,0,finish,0
8_354,1925299,20989,-38.51,-8.87,91.441,0.0796,1,102.35,0,0,0,finish,0
8_491,1925299,27232,-43.54,-3.46,96.102,0.0761,0,103.1,0,1,0,finish,0
8_540,1925299,30126,-30.15,0.39,82.651,0.0885,1,102.82,0,0,0,finish,0
8_613,1925299,33065,-33.27,-4.53,85.89,0.0851,1,102.29,0,0,0,finish,0
8_631,1925299,34513,-24.13,9.32,77.195,0.0941,0,101.53,0,0,0,finish,0
